地名,センター,プラスチック,ペットボトル,びん,かん,雑誌・雑紙,紙パック,段ボール,新聞,古着・古布,可燃ごみ,不燃ごみ,有害ごみ
小宮町,収集地区19,金,隔木20150115,隔月20150112,隔月20150105,隔火20150113,隔火20150113,隔火20150113,隔水20150107,隔月20150112,火 金,隔水20150107,隔水20150107
子安町１〜４丁目,収集地区17,金,隔木20150115,隔月20150112,隔月20150105,隔火20150113,隔火20150113,隔火20150113,隔水20150114,隔月20150112,月 木,隔水20150107,隔水20150107
左入町,収集地区7,火,隔月20150112,隔水20150114,隔水20150107,隔木20150115,隔木20150115,隔木20150115,隔水20150114,隔水20150114,火 金,隔金20150109,隔金20150109
散田町１〜５丁目,収集地区14,木,隔水20150107,隔金20150109,隔金20150116,隔月20150105,隔月20150105,隔月20150105,隔水20150107,隔金20150123,火 金,隔火20150113,隔火20150113
下恩方町,収集地区2,月,隔金20150116,隔火20150113,隔火20150106,隔水20150114,隔水20150114,隔水20150114,隔水20150114,隔火20150113,月 木,隔木20150108,隔木20150108
下柚木,収集地区5,火,隔月20150112,隔水20150114,隔水20150107,隔木20150115,隔木20150115,隔木20150115,隔水20150114,隔水20150114,月 木,隔金20150109,隔金20150109
下柚木２丁目,収集地区5,火,隔月20150112,隔水20150114,隔水20150107,隔木20150115,隔木20150115,隔木20150115,隔水20150114,隔水20150114,月 木,隔金20150109,隔金20150109
下柚木３丁目,収集地区12,木,隔水20150107,隔金20150109,隔金20150116,隔月20150105,隔月20150105,隔月20150105,隔水20150114,隔金20150123,月 木,隔火20150113,隔火20150113
城山手１〜２丁目,収集地区13,木,隔水20150114,隔金20150116,隔金20150109,隔月20150112,隔月20150112,隔月20150112,隔水20150114,隔金20150116,月 木,隔火20150106,隔火20150106
新町,収集地区16,金,隔木20150108,隔月20150105,隔月20150112,隔火20150106,隔火20150106,隔火20150106,隔水20150114,隔月20150119,月 木,隔水20150114,隔水20150114
諏訪町,収集地区2,月,隔金20150116,隔火20150113,隔火20150106,隔水20150114,隔水20150114,隔水20150114,隔水20150114,隔火20150113,月 木,隔木20150108,隔木20150108
千人町１〜4丁目,収集地区15,木,隔水20150114,隔金20150116,隔金20150109,隔月20150112,隔月20150112,隔月20150112,隔水20150107,隔金20150116,火 金,隔火20150106,隔火20150106
平町,収集地区19,金,隔木20150115,隔月20150112,隔月20150105,隔火20150113,隔火20150113,隔火20150113,隔水20150107,隔月20150112,火 金,隔水20150107,隔水20150107
台町１〜４丁目,収集地区11,水,隔火20150113,隔木20150115,隔木20150108,隔金20150116,隔金20150116,隔金20150116,隔水20150107,隔木20150115,火 金,隔月20150105,隔月20150105
大楽寺町,収集地区17,金,隔木20150115,隔月20150112,隔月20150105,隔火20150113,隔火20150113,隔火20150113,隔水20150114,隔月20150112,月 木,隔水20150107,隔水20150107
高尾町,収集地区10,水,隔火20150106,隔木20150108,隔木20150115,隔金20150109,隔金20150109,隔金20150109,隔水20150107,隔木20150122,火 金,隔月20150112,隔月20150112
高倉町,収集地区15,木,隔水20150114,隔金20150116,隔金20150109,隔月20150112,隔月20150112,隔月20150112,隔水20150107,隔金20150116,火 金,隔火20150106,隔火20150106
高月町,収集地区7,火,隔月20150112,隔水20150114,隔水20150107,隔木20150115,隔木20150115,隔木20150115,隔水20150114,隔水20150114,火 金,隔金20150109,隔金20150109
滝山町１〜２丁目,収集地区7,火,隔月20150112,隔水20150114,隔水20150107,隔木20150115,隔木20150115,隔木20150115,隔水20150114,隔水20150114,火 金,隔金20150109,隔金20150109
館町（館ヶ丘団地）,収集地区16,金,隔木20150108,隔月20150105,隔月20150112,隔火20150106,隔火20150106,隔火20150106,隔水20150114,隔月20150119,月 木,隔水20150114,隔水20150114
館町（館ヶ丘団地を除く）,収集地区18,金,隔木20150108,隔月20150105,隔月20150112,隔火20150106,隔火20150106,隔火20150106,隔水20150107,隔月20150119,火 金,隔水20150114,隔水20150114
田町,収集地区2,月,隔金20150116,隔火20150113,隔火20150106,隔水20150114,隔水20150114,隔水20150114,隔水20150114,隔火20150113,月 木,隔木20150108,隔木20150108
丹木町１〜３丁目,収集地区7,火,隔月20150112,隔水20150114,隔水20150107,隔木20150115,隔木20150115,隔木20150115,隔水20150114,隔水20150114,火 金,隔金20150109,隔金20150109
